No,X1 transaction date,X2 house age,X3 distance to the nearest MRT station,X4 number of convenience stores,X5 latitude,X6 longitude,Y
1,2012.92,11680,84.88,10,24.98,121.54,379000
2,2012.92,7117.5,306.59,9,24.98,121.54,422000
3,2013.58,4854.5,561.98,5,24.99,121.54,473000
4,2013.5,4854.5,561.98,5,24.99,121.54,548000
5,2012.83,1825,390.57,5,24.98,121.54,431000
6,2012.67,2591.5,2175.03,3,24.96,121.51,321000
7,2012.67,12592.5,623.47,7,24.98,121.54,403000
8,2013.42,7409.5,287.6,6,24.98,121.54,467000
9,2013.5,11570.5,5512.04,1,24.95,121.48,188000
10,2013.42,6533.5,1783.18,3,24.97,121.51,221000
11,2013.08,12702,405.21,1,24.97,121.53,414000
12,2013.33,2299.5,90.46,9,24.97,121.54,581000
13,2012.92,4745,492.23,5,24.97,121.54,393000
14,2012.67,7446,2469.65,4,24.96,121.51,238000
15,2013.5,4818,1164.84,4,24.99,121.53,343000
16,2013.58,13030.5,579.21,2,24.98,121.55,505000
17,2013.25,0,293,6,24.98,121.54,701000
18,2012.75,6460.5,350.85,1,24.98,121.53,374000
19,2013.42,6168.5,368.14,8,24.97,121.54,423000
20,2012.67,547.5,23.38,7,24.97,121.54,477000
21,2013.42,1642.5,2275.88,3,24.96,121.51,293000
22,2013.42,3832.5,279.17,7,24.98,121.55,516000
23,2012.92,5365.5,1360.14,1,24.95,121.55,246000
24,2013.08,3686.5,279.17,7,24.98,121.55,479000
25,2013,14454,480.7,4,24.97,121.54,388000
26,2013.08,10694.5,1487.87,2,24.98,121.52,270000
27,2012.67,1131.5,383.86,5,24.98,121.54,562000
28,2013.25,3796,276.45,5,24.96,121.54,336000
29,2013.5,7008,557.48,4,24.97,121.54,470000
30,2013.08,2591.5,451.24,5,24.98,121.55,571000
31,2013.5,9453.5,4519.69,0,24.95,121.5,221000
32,2012.75,10804,769.4,7,24.98,121.53,250000
33,2012.75,13833.5,488.57,1,24.97,121.53,342000
34,2013.25,6022.5,323.66,6,24.98,121.54,493000
35,2012.75,5621,205.37,7,24.98,121.54,551000
36,2013.5,5073.5,4079.42,0,25.01,121.52,273000
37,2012.92,5365.5,1935.01,2,24.96,121.51,229000
38,2013.17,4380,1360.14,1,24.95,121.55,253000
39,2012.67,1131.5,577.96,6,24.97,121.55,477000
40,2013.17,5913,289.32,5,24.98,121.54,462000
41,2013,4964,4082.02,0,24.94,121.5,159000
42,2013.5,6132,4066.59,0,24.94,121.5,182000
43,2013.42,13176.5,519.46,5,24.96,121.54,347000
44,2012.75,12556,512.79,6,24.99,121.54,341000
45,2013.58,985.5,533.48,4,24.97,121.55,539000
46,2013.08,13359,488.82,8,24.97,121.54,383000
47,2013.42,7920.5,463.96,9,24.97,121.54,420000
48,2013.58,13103.5,640.74,3,24.98,121.54,615000
49,2013.42,8833,4605.75,0,24.95,121.5,134000
50,2012.67,10731,4510.36,1,24.95,121.5,132000
51,2013.42,7920.5,512.55,4,24.97,121.54,442000
52,2013.08,11424.5,1758.41,1,24.95,121.55,207000
53,2013.58,11716.5,1438.58,3,24.97,121.52,270000
54,2013.08,4854.5,492.23,5,24.97,121.54,389000
55,2013.08,5876.5,289.32,5,24.98,121.54,517000
56,2012.83,11570.5,1160.63,0,24.95,121.53,137000
57,2013.42,12264,371.25,8,24.97,121.54,419000
58,2012.92,1277.5,56.47,7,24.96,121.54,535000
59,2013.5,11059.5,4510.36,1,24.95,121.5,226000
60,2013.08,4854.5,336.05,5,24.96,121.53,424000
61,2013.42,4015,1931.21,2,24.96,121.51,213000
62,2013.5,1934.5,259.66,6,24.98,121.55,632000
63,2012.92,6278,2175.88,3,24.96,121.51,277000
64,2013.58,949,533.48,4,24.97,121.55,550000
65,2013.33,6387.5,995.76,0,24.96,121.55,253000
66,2013.42,14636.5,123.74,8,24.98,121.54,443000
67,2013,365,193.58,6,24.97,121.54,507000
68,2013.5,3102.5,104.81,5,24.97,121.54,568000
69,2013.42,11096,464.22,6,24.98,121.54,362000
70,2012.83,4562.5,561.98,5,24.99,121.54,420000
71,2013.58,2409,90.46,9,24.97,121.54,590000
72,2013.08,12957.5,640.74,3,24.98,121.54,408000
73,2013.58,11862.5,424.54,8,24.98,121.54,363000
74,2013.17,5037,4082.02,0,24.94,121.5,200000
75,2012.92,2482,379.56,10,24.98,121.54,544000
76,2013.5,4489.5,1360.14,1,24.95,121.55,295000
77,2013.58,13103.5,616.4,3,24.98,121.54,368000
78,2012.83,7482.5,2185.13,3,24.96,121.51,256000
79,2012.92,13943,552.44,2,24.98,121.53,298000
80,2013,6570,1414.84,1,24.95,121.55,265000
81,2013.5,4307,533.48,4,24.97,121.55,403000
82,2013,11242,377.8,6,24.96,121.54,368000
83,2013.08,4818,150.93,7,24.97,121.54,481000
84,2012.92,9234.5,2707.39,3,24.96,121.51,177000
85,2013.08,5511.5,383.28,7,24.97,121.54,437000
86,2012.75,0,338.97,9,24.97,121.54,508000
87,2012.83,657,1455.8,1,24.95,121.55,270000
88,2013.58,6168.5,4066.59,0,24.94,121.5,183000
89,2012.92,3248.5,1406.43,0,24.99,121.53,480000
90,2013.5,8395,3947.95,0,24.95,121.5,253000
91,2012.83,0,274.01,1,24.97,121.53,454000
92,2013.25,3321.5,1402.02,0,24.99,121.53,432000
93,2012.92,7519,2469.65,4,24.96,121.51,218000
94,2012.92,11643.5,1146.33,0,24.95,121.53,161000
95,2012.92,14928.5,167.6,5,24.97,121.54,410000
96,2012.92,2920,104.81,5,24.97,121.54,518000
97,2013.42,2336,90.46,9,24.97,121.54,595000
98,2013.08,10366,617.44,3,24.98,121.53,346000
99,2013.42,5986,289.32,5,24.98,121.54,510000
100,2013.42,2336,90.46,9,24.97,121.54,622000
101,2013.5,6387.5,964.75,4,24.99,121.53,382000
102,2012.83,4635.5,170.13,1,24.97,121.53,329000
103,2013.08,401.5,193.58,6,24.97,121.54,544000
104,2012.75,0,208.39,6,24.96,121.54,457000
105,2012.67,11935.5,392.45,6,24.96,121.54,305000
106,2012.83,0,293,6,24.98,121.54,710000
107,2013.08,6278,189.52,8,24.98,121.54,471000
108,2013.33,4453,1360.14,1,24.95,121.55,266000
109,2013.42,11461,592.5,2,24.97,121.54,341000
110,2013.58,1460,2147.38,3,24.96,121.51,284000
111,2013.08,2956.5,104.81,5,24.97,121.54,516000
112,2013.58,12154.5,196.62,7,24.98,121.54,394000
113,2013.42,3613.5,2102.43,3,24.96,121.51,231000
114,2013.33,5402,393.26,6,24.96,121.54,76000
115,2012.67,11169,143.84,8,24.98,121.54,533000
116,2013.08,7519,737.92,2,24.98,121.55,464000
117,2013,11278.5,6396.28,1,24.94,121.48,122000
118,2013,4964,4197.35,0,24.94,121.5,130000
119,2013.5,9234.5,1583.72,3,24.97,121.52,306000
120,2013.5,6059,289.32,5,24.98,121.54,596000
121,2013.17,4854.5,492.23,5,24.97,121.54,313000
122,2013.5,4964,492.23,5,24.97,121.54,480000
123,2013.25,11497.5,414.95,4,24.98,121.54,325000
124,2013.42,0,185.43,0,24.97,121.53,455000
125,2012.92,3613.5,279.17,7,24.98,121.55,574000
126,2013.17,401.5,193.58,6,24.97,121.54,486000
127,2013.08,14089,804.69,4,24.98,121.53,629000
128,2013.25,1387,383.86,5,24.98,121.54,550000
129,2013.08,15074.5,124.99,6,24.97,121.54,607000
130,2013.42,14052.5,216.83,7,24.98,121.54,410000
131,2013.25,10804,535.53,8,24.98,121.54,375000
132,2013.5,1460,2147.38,3,24.96,121.51,307000
133,2013.17,9709,482.76,5,24.97,121.54,375000
134,2012.83,6570,373.39,8,24.99,121.54,395000
135,2012.67,12191,186.97,6,24.97,121.54,422000
136,2012.92,6898.5,1009.24,0,24.96,121.55,208000
137,2012.75,4161,390.57,5,24.98,121.54,468000
138,2013.5,4964,319.07,6,24.96,121.54,474000
139,2013.17,3650,942.47,0,24.98,121.52,435000
140,2012.67,4708.5,492.23,5,24.97,121.54,425000
141,2013.25,5913,289.32,5,24.98,121.54,514000
142,2013.33,1861.5,1559.83,3,24.97,121.52,289000
143,2013.42,7227,640.61,5,24.97,121.55,375000
144,2013.5,4964,492.23,5,24.97,121.54,401000
145,2013.08,4343.5,1360.14,1,24.95,121.55,284000
146,2012.92,766.5,451.24,5,24.98,121.55,455000
147,2012.75,0,185.43,0,24.97,121.53,522000
148,2012.75,1168,489.88,8,24.97,121.54,432000
149,2013.5,5986,3780.59,0,24.93,121.51,451000
150,2012.67,12738.5,179.45,8,24.97,121.54,397000
151,2013.25,13067,170.73,7,24.97,121.54,485000
152,2013.5,1788.5,387.77,9,24.98,121.54,447000
153,2013.33,4380,1360.14,1,24.95,121.55,289000
154,2013.25,2372.5,376.17,6,24.95,121.54,409000
155,2013.5,6168.5,4066.59,0,24.94,121.5,207000
156,2013.17,5037,4082.02,0,24.94,121.5,156000
157,2013.58,11205.5,1264.73,0,24.95,121.53,183000
158,2013.25,5876.5,815.93,4,24.98,121.53,356000
159,2013,4234,390.57,5,24.98,121.54,394000
160,2012.67,5657.5,815.93,4,24.98,121.53,374000
161,2012.92,1277.5,49.66,8,24.96,121.54,578000
162,2013.42,7008,616.4,3,24.98,121.54,396000
163,2012.75,5840,4066.59,0,24.94,121.5,116000
164,2013.5,3102.5,104.81,5,24.97,121.54,555000
165,2012.83,0,185.43,0,24.97,121.53,552000
166,2012.92,5000.5,1236.56,1,24.98,121.55,306000
167,2013.42,0,293,6,24.98,121.54,736000
168,2013.42,10293,330.09,8,24.97,121.54,434000
169,2013.08,10074,515.11,5,24.96,121.54,374000
170,2013.42,3066,1962.63,1,24.95,121.55,235000
171,2013.33,8760,4527.69,0,24.95,121.5,144000
172,2013.08,1314,383.86,5,24.98,121.54,588000
173,2013.58,2409,90.46,9,24.97,121.54,581000
174,2013.08,15074.5,401.88,4,24.98,121.54,351000
175,2013.42,1569.5,432.04,7,24.98,121.54,452000
176,2013.08,11023,472.17,3,24.97,121.54,365000
177,2012.83,5073.5,4573.78,0,24.95,121.5,192000
178,2013.08,12045,181.08,9,24.98,121.54,420000
179,2013.5,4781.5,1144.44,4,24.99,121.53,367000
180,2013.08,5110,438.85,1,24.97,121.53,426000
181,2012.67,9818.5,4449.27,0,24.95,121.5,155000
182,2013.17,4234,201.89,8,24.98,121.54,559000
183,2013.5,4927.5,2147.38,3,24.96,121.51,236000
184,2013.5,6205,4082.02,0,24.94,121.5,188000
185,2012.75,5146.5,2615.47,0,24.95,121.56,218000
186,2012.75,11461,1447.29,3,24.97,121.52,215000
187,2013.17,7628.5,2185.13,3,24.96,121.51,257000
188,2013,3248.5,3078.18,0,24.95,121.57,220000
189,2012.92,12702,190.04,8,24.98,121.54,443000
190,2012.92,5949.5,4066.59,0,24.94,121.5,205000
191,2013.5,12884.5,616.57,8,24.98,121.54,423000
192,2013.17,4818,750.07,2,24.97,121.55,378000
